mean_ms_util,variation_from_mean,cluster_imprv,global_demand_meet_percentage,local_demand_meet_percentage
10,50,0.46557208218191887,100.0,99.16142557651992
20,50,0.5523678241813303,100.0,98.68528586149309
30,50,0.5095506891389527,100.0,98.18071989482287
40,50,0.7045424889791824,100.0,97.61219486195502
50,50,0.7199662139364095,100.0,96.44671854457592
60,50,1.0367991619936296,99.96446718544576,93.6111999431475
70,50,1.460316297252361,99.94314749671321,88.60107309099953
80,50,2.799628753468135,99.90050811924812,78.41736843975411
90,50,4.649911001036449,99.86142202323846,65.71438723661302
10,50,0.4100861863021753,100.0,99.09746651032229
20,50,0.6348124064215104,100.0,98.68528586149309
30,50,0.8383759144056624,100.0,97.98528941477454
40,50,0.8762331835362582,100.0,97.50204313683687
50,50,0.627287851389316,100.0,96.70610809082187
60,50,1.0495997047005763,99.96802046690118,93.6858188537114
70,50,2.1217085335162142,99.94670077816863,88.13914650179441
80,50,3.10755710846625,99.9111679636144,78.98234019116654
90,50,4.116298136879703,99.85786874178304,66.52453540844971
10,50,0.3065199296215053,100.0,99.21472479835127
20,50,0.30774371447335824,100.0,98.72792523895818
30,50,0.4564410609641791,100.0,98.3761503748712
40,50,0.5596607890638374,100.0,97.56244892157908
50,50,0.9526543001896999,100.0,96.6350424617134
60,50,1.0774569802542826,99.96802046690118,93.88835589667057
70,50,1.9316338511790807,99.96446718544576,88.48381480297054
80,50,2.3850599860845696,99.8969548377927,80.01989837615038
90,50,4.973954202057624,99.76548342394202,64.24688199552287
10,50,0.23866385512034172,100.0,99.18629854670789
20,50,0.585293519871277,100.0,98.73503180186903
30,50,0.45434568639140327,100.0,98.13808051735778
40,50,0.9429657046141914,100.0,97.61219486195502
50,50,0.6979936041803868,100.0,96.67412855772307
60,50,1.2137453612416227,99.98223359272288,93.78175745300786
70,50,1.9724887040946881,99.94314749671321,88.79295028959244
80,50,3.288822107628072,99.87918843051558,78.64477845290125
90,50,4.291900314413233,99.82944249013964,66.87631027253668
10,50,0.47422030528392484,100.0,99.05838041431262
20,50,0.5264524984423693,100.0,98.67817929858224
30,50,0.7864337704184422,100.0,98.10965426571438
40,50,0.8249724698690758,100.0,97.52336282556942
50,50,1.0505948449846825,100.0,96.79494012720747
60,50,1.5178722352821603,99.96446718544576,93.68937213516682
70,50,1.6255087081949893,99.93959421525778,88.32747041893188
80,50,2.7915281405533228,99.91472124506983,79.5828447571332
90,50,4.364248137228078,99.82944249013964,65.98088334576981
