pct_of_svc_spiking,cluster_imprv,global_demand_meet_percentage,local_demand_meet_percentage
0,0.0,100.0,100.0
0,0.0,100.0,100.0
0.01,0.017995234476298506,99.99289343708915,99.99289343708915
0.1,2.5675792846758583,99.90050811924812,99.90050811924812
0.2,3.751283160689895,99.80101623849626,99.80101623849626
0.5,11.92201914527965,99.50254059624064,99.50254059624064
1,17.273759681835234,99.00152791102583,99.00152791102583
2,16.864073355244138,98.00305582205166,98.00305582205166
3,12.002679949055906,97.00103045162207,97.00103045162207
4,10.865122713151043,96.0025583626479,96.0025583626479
5,7.422096866696959,95.00053299221831,95.00053299221831
10,3.593466731351235,90.00106598443662,90.00106598443662
20,0.7057502987613281,80.00213196887326,80.00213196887326
50,0.11888397507432293,50.00177664072771,50.00177664072771
100,0.0,0.0,0.0
